id_text,text_name,version,l_no,text
c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun,A,1,lugal[king]N Utu[1]DN šag₄[heart]N kalam[the-Land]N zalag[to-be-shining]V
c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun,A,2,dug₄[to-say]V
c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun,A,3,i-utu[(cry-of)-complaint]N absin₃[furrow]N zig₃[to-rise]V
c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun,A,4,Tidnum[1]EN šu[hand]N saŋ[head]N ŋar[to-place]V šibir[shepherd's-crook]N dab₅[to-seize]V
c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun,A,5,lugal[king]N idim[to-be-heavy]V šid[to-count]V
c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun,A,6,tah[to-add]V
c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun,A,7,Lugal-nesaŋe[1]PN Lugal-šu[1]PN dumu[child]N Nibru[1]SN arad[slave]N dug₄[to-say]V
c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun,A,8,šul-a-lum[punishment]N zu[to-know]V saŋ-ki[forehead]N gid₂[to-be-long]V
c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun,A,9,til₄[clamour]N ak[to-do]V pad₃[to-find]V
c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun,A,10,iri[town]N kur₂[to-be-different]V tum₁₂[pigeon]N še[groan]N ša₄[verb-part-of-multiword-verb]V
c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun,A,11,šag₄-ne-ša₄[intercession]N tuku[to-have]V
c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun,A,12,ur[dog]N ki[place]N gam[to-bow-down]V zu[to-know]V šu[hand]N dag[to-roam-around]V si[to-fill]V
c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun,A,13,mušen[bird]N šu[hand]N sur₂-du₃[falcon]N dal[to-fly]V ur₅[liver]N ak[to-do]V
c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun,A,14,kiri₆[orchard]N a[water]N šu[hand]N dug₄[to-say]V asila[rejoicing]N hab₂[to-stink]V uš₂[to-die]V
c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun,A,15,igi[eye]N la₂[to-hang]V e₂[house(hold)]N lugal[king]N sig₉[to-put]V inim-ŋar[(oracular)-utterance]N gig[to-be-ill]V la₂[to-hang]V
c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun,A,16,zarah[grief]N
c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun,A,17,u₅-a[soothing-expression]I u₅-a[soothing-expression]I X[X]V
c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun,A,18,gud[bull]N mur[fodder]N eme[tongue]N šu[hand]N ša-an-ša-ša[verb-part-of-multiword-verb]V
c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun,A,19,peš[to-be-thick]V amar[calf]N gud₃[nest]N zi[life-(breath)]N gi₄[to-return]V ka[mouth]N u₂[plant]N gu₇[to-eat]V X[X]V
c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun,A,20,edin[open-country]N tum₉[wind]N dal[to-fly]V dal[to-fly]V bad[to-open]V e₂[house(hold)]N ar₃-ar₃[to-grind]V X[X]V
c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun,A,21,uš₂[to-die]V ki[place]N de₆[to-carry]V še[barley]N ar₃-ar₃[to-grind]V
c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun,A,22,šeš[brother]N lu₂[person]N kur₂[to-be-different]V me[to-be]V igi[eye]N tur[to-be-small]V X[X]V
c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun,A,29,
c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun,A,30,
c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun,A,31,sag₉[to-be-good]V
c.3.3.03,Letter from Lugal-nesaŋe to a king radiant as the sun,A,32,lugal[king]N
