etcsl_no,text_name,version,l_no,text
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,1,sux:dumu[child]N sux:e₂-dub-ba-a[scribal-school]N sux:ud[day(light)]N sux:ul[distant-time]N sux:ŋen[to-go]V sux:ki[place]N
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,2,sux:niŋ₂[thing]N sux:um-mi-a[scholar]N sux:pad₃[to-find]V sux:za[you-(sg.)]PD sux:pad₃[to-find]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,3,sux:za[you-(sg.)]PD sux:nam-lu₂-tur[status-as-child]N sux:ak[to-do]V sux:šeš-gal[elder-brother]N sux:tuku[to-have]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,4,sux:um-mi-a[scholar]N sux:lu₂[person]N sux:kiŋ₂[work]N sux:a₂[arm]N sux:aŋ₂[to-measure]V sux:ŋiš[tree]N sux:ŋar[to-place]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,5,sux:gi[reed]N sux:gu₄-ud[to-jump-on]V sux:gu₄-ud[to-jump-on]V sux:kiŋ₂[work]N sux:sig₁₀[to-place]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,6,sux:inim[word]N sux:um-mi-a[scholar]N sux:taka₄[to-leave-behind]V sux:niŋ₂[thing]N sux:ni₂-ŋu₁₀[myself]PD sux:ak[to-do]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,7,sux:šeš-gal[elder-brother]N sux:a₂[arm]N sux:ŋiš[tree]N sux:ŋar[to-place]V sux:šag₄[heart]N sux:dug₃[to-be-good]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,8,sux:sun₅[to-be-humble]V sux:hul₂[to-be-happy]V sux:silim[to-be-healthy]V sux:dug₄[to-say]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,9,sux:ŋiš[tree]N sux:hur[to-scratch]V sux:dim₂[to-create]V sux:ki[place]N sux:ŋar[to-place]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,10,sux:na[advice]N sux:de₅[to-collect]V sux:lu₂[person]N sux:hu-ru-um[social-inferior]N sux:šu[hand]N sux:bar[to-set-aside]V sux:dib[to-pass]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,11,sux:im[clay]N sux:šu[hand]N sux:si[horn]N sux:sa₂[to-equal]V sux:us₂[path]N sux:zid[right]AJ sux:dab₅[to-seize]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,12,sux:ka[mouth]N sux:inim[word]N sux:ŋal₂[to-open]V sux:taka₄[to-leave-behind]V sux:ad[voice]N sux:gi₄[to-return]V sux:pad₃[to-find]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,13,sux:ŋiš-hur[design]N sux:lu₂[person]N sux:a₂[arm]N sux:aŋ₂[to-measure]V sux:si[horn]N sux:sa₂[to-equal]V sux:igi[eye]N sux:si[to-fill]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,14,sux:gu₂[neck]N sux:zig₃[to-rise]V sux:ha-la[share]N sux:a₂[arm]N sux:aŋ₂[to-measure]V sux:ud[day(light)]N sux:zal[to-pass]V sux:niŋ₂-gig[abomination]N
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,15,sux:lu₂[person]N sux:ki[place]N sux:a₂[arm]N sux:aŋ₂[to-measure]V sux:ud[day(light)]N sux:zal[to-pass]V sux:a₂[arm]N sux:aŋ₂[to-measure]V sux:taka₄[to-leave-behind]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,16,sux:niŋ₂-zu[knowledge]N sux:pa[branch]N sux:e₃[to-go-out-or-in]V sux:ka[mouth]N sux:la₂[to-hang]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,17,sux:tukum-bi[if]C sux:niŋ₂-zu[knowledge]N sux:pa[branch]N sux:e₃[to-go-out-or-in]V sux:igi[eye]N sux:suh[to-tear-out]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,18,sux:ud[day(light)]N sux:zal[to-pass]V sux:ŋi₆[night]N sux:sed₄[to-be-cold]V sux:a₂[arm]N sux:ŋen[to-go]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,19,sux:šeš-gal[elder-brother]N sux:šeš-ban₃-da[younger-brother]N sux:hi-li[attractiveness]N sux:gi₄[to-return]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,20,sux:saŋ-ki[forehead]N sux:gal[to-be-big]V sux:te[to-approach]V sux:inim[word]N sux:dugud[to-be-heavy]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,21,sux:2-kam-ma[2nd]NU sux:igi[eye]N sux:keše₂[to-bind]V sux:gi₄[to-return]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,22,sux:ki[place]N sux:za[to-bow-down]V sux:teš₂[pride]N sux:lu₂-ulu₃[person]N sux:mah[to-be-majestic]V sux:gu₂[neck]N sux:du₃[to-erect]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,23,sux:u₂[plant]N sux:teš₂[pride]N sux:šag₄[heart]N sux:sed₄[to-be-cold]V sux:nam-tag[sin]N sux:du₈[to-spread]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,24,sux:lu₂[person]N sux:šu[hand]N sux:sug₄[to-be-empty]V sux:kadra[greeting-gift]N sux:ur₅[that]PD sux:nir[authority]N sux:ŋal₂[to-be-(located)]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,25,sux:lu₂[person]N sux:niŋ₂[thing]N sux:tuku[to-have]V sux:maš₂[(kid)-goat]N sux:gur[to-turn]V sux:gaba[chest]N sux:tab[to-be-parallel]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,26,sux:lu₂-ŋarza₂[type-of-official]N sux:ki[place]N sux:za[to-bow-down]V sux:keše₂[to-bind]V sux:sed₄[to-be-cold]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,27,sux:niŋ₂[thing]N sux:um-mi-a[scholar]N sux:pad₃[to-find]V sux:šid[to-count]V sux:taka₄[to-leave-behind]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,28,sux:ŋizzal[hearing]N sux:ak[to-do]V sux:šag₄[heart]N sux:gid₂[to-be-long]V sux:sag₉[to-be-good]V sux:ŋal₂[to-be-(located)]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,29,sux:dub-sar[scribe]N sux:umun₂[knowledge-source]N sux:ak[to-do]V sux:sun₅[to-be-humble]V sux:ugula[overseer]N sux:gi₄[to-return]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,30,sux:ud[day(light)]N sux:mu₇-mu₇[incantation]N sux:šid[to-count]V sux:ba-an-gi₄[response]N sux:ha-za[to-hold]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,31,sux:mu₇[to-make-noise]V sux:gud[bull]N sux:i-lu[(sad)-song]N sux:dug₃[to-be-good]V sux:ŋiš[tree]N sux:la₂[to-hang]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,32,sux:lu₂[person]N sux:zu[to-know]V sux:kur₉[to-enter]V sux:1[1]NU sux:gi₄[to-return]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,33,sux:ur-gir₁₅[domestic-dog]N sux:tur[to-be-small]V sux:igi[eye]N sux:bad[to-open]V sux:nam-lu₂-ulu₃[humanity]N sux:ak[to-do]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,34,sux:a-na-aš[why]AV sux:lu₂[person]N sux:ŋa₂-la[noun-part-of-multiword-verb]N sux:dag[to-roam-around]V sux:ŋiš[tree]N sux:hur[to-scratch]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,35,sux:lu₂[person]N sux:inim[word]N sux:ŋiš[tree]N sux:tuku[to-have]V sux:šu[hand]N sux:kar₂[to-blow]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,36,sux:nam-dub-sar[scribe's-craft]N sux:a-na[what(ever)]PD sux:pad₃[to-find]V sux:šu[hand]N sux:šum₂[to-give]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,37,sux:e₂[house(hold)]N sux:gub[to-stand]V sux:ud[day(light)]N sux:na-me[any]PD sux:niŋ₂[thing]N sux:ŋa₂-la[noun-part-of-multiword-verb]N sux:dag[to-roam-around]V sux:sa₂[to-equal]V sux:dug₄[to-say]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,38,sux:geme₂[female-slave]N sux:arad[slave]N sux:ŋiri₃-sig₁₀-ga[attendant]N sux:e₂[house(hold)]N sux:kiŋ₂-gi₄-a[messenger]N sux:gi₄[to-return]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,39,sux:šukur₂[ration]N sux:tug₂[garment]N sux:u₃[and]C sux:ba[to-allot]V sux:šag₄[heart]N sux:dug₃[to-be-good]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,40,sux:a-ra₂[way]N sux:kiŋ₂-gi₄-a[messenger]N sux:gi₄[to-return]V sux:e₂[house(hold)]N sux:lugal[king]N sux:arad[slave]N sux:us₂[to-be-adjacent]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,41,sux:gaba[chest]N sux:ud[day(light)]N sux:ak[to-do]V sux:udu[sheep]N sux:us₂[to-be-adjacent]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,42,sux:sizkur₂[prayer]N sux:sa[sinew]N sux:gi₄[to-return]V sux:dug₄[to-say]V sux:ud[day(light)]N sux:sa₂[to-equal]V sux:dug₄[to-say]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,43,sux:udu[sheep]N sux:u₂-gu₇[food]N sux:sag₉[to-be-good]V sux:diŋir[deity]N sux:hul₂[to-be-happy]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,44,sux:ud[day(light)]N sux:ma₂[boat]N sux:diŋir[deity]N sux:us₂[to-be-adjacent]V sux:giri₁₇[nose]N sux:šu[hand]N sux:tag[to-touch]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,45,sux:gaba[chest]N sux:a-šag₄[field]N sux:a₂[arm]N sux:aŋ₂[to-measure]V sux:erin₂[group-of-people]N sux:kiŋ₂[work]N sux:ak[to-do]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,46,sux:kiŋ₂[work]N sux:a-da-min₃[contest]N sux:ŋi₆[night]N sux:an-bar₇[midday]N sux:u₃[sleep]N sux:ku[to-lay-down]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,47,sux:us₂-a-DU[border]N sux:dumu[child]N sux:engar[farmer]N sux:saŋ[head]N sux:kal[to-be-rare]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,48,sux:a-šag₄[field]N sux:šu[hand]N sux:nam-sag₉-ga[pleasure]N sux:gi₄[to-return]V sux:uŋ₃[people]N sux:u₆[wonder]N sux:dug₄[to-say]V sux:dug₄[to-say]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,49,sux:gud[bull]N sux:a-na[what(ever)]PD sux:gub[to-stand]V sux:dirig[to-be-superior]V sux:de₆[to-carry]V sux:gun₂[weight-measure-(load)]N sux:silim[to-be-healthy]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,50,sux:tur[to-be-small]V sux:dim₄[to-check]V sux:a-ra₂[way]N sux:igi[eye]N sux:du₈[to-spread]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,51,sux:kug[precious-metal]N sux:sag₉[to-be-good]V sux:kurum₇[inspection]N sux:ak[to-do]V sux:ki-še-er[limit]N sux:tuku[to-have]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,52,sux:gal[to-be-big]V sux:dug₄[to-say]V sux:niŋ₂-gig[abomination]N sux:tuš[to-sit]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,53,sux:ni₂[self]N sux:tur[to-be-small]V sux:sah₆[to-withdraw]V sux:pa[branch]N sux:e₃[to-go-out-or-in]V sux:zu[to-know]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,54,sux:ud[day(light)]N sux:lu₂-tur[child]N sux:me[to-be]V sux:i₃-ne-eš₂[now]AV sux:saŋ[head]N sux:il₂[to-raise]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,55,sux:šu[hand]N sux:lu₂[person]N sux:gi₄[to-return]V sux:a-ra₂[way]N sux:DU[DU]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,56,sux:šudu₃[prayer]N sux:ša₄[verb-part-of-multiword-verb]V sux:nam[destiny]N sux:tar[to-cut]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,57,sux:na[advice]N sux:de₅[to-collect]V sux:ga[milk]N sux:i₃[fatty-substance]N sux:gu₇[to-eat]V sux:su[flesh]N sux:kur₉[to-enter]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,58,sux:gub[to-stand]V sux:ŋa₂-la[noun-part-of-multiword-verb]N sux:dag[to-roam-around]V sux:pad₃[to-find]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,59,sux:ki[place]N sux:sag₉[to-be-good]V sux:sa₂[to-equal]V sux:dug₄[to-say]V sux:niŋ₂-hul[evil-action]N sux:ak[to-do]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,60,sux:um-mi-a[scholar]N sux:lu₂[person]N sux:inim[word]N sux:zu[to-know]V sux:saŋ[head]N sux:kal[to-be-rare]V
c.5.1.3,The advice of a supervisor to a younger scribe (E-dub-ba-a C),,60A,sux:e₂[house(hold)]N sux:ki[place]N sux:saŋ-kal[foremost]AJ sux:dug₄[to-say]V
