id_text,text_name,l_no,text
saao/saa18/P237183,SAA 18 076. Barley for the King’s Servants in Nippur (CT 54 495),o 2',kurummatu[ration]N ina[in]PRP libbu[interior]N ul[not]MOD šaknu[placed]AJ
saao/saa18/P237183,SAA 18 076. Barley for the King’s Servants in Nippur (CT 54 495),o 3',u[and]CNJ suluppu[date]N mala[as-much-as]REL
saao/saa18/P237183,SAA 18 076. Barley for the King’s Servants in Nippur (CT 54 495),o 4',bašû[exist]V Puqudu[1]EN
saao/saa18/P237183,SAA 18 076. Barley for the King’s Servants in Nippur (CT 54 495),o 5',gabbu[totality]N našû[lift]V
saao/saa18/P237183,SAA 18 076. Barley for the King’s Servants in Nippur (CT 54 495),o 6',u[and]CNJ ana[to]PRP šandabakku[governor-of-Nippur]N
saao/saa18/P237183,SAA 18 076. Barley for the King’s Servants in Nippur (CT 54 495),o 7',kī[like]PRP šapāru[send]V
saao/saa18/P237183,SAA 18 076. Barley for the King’s Servants in Nippur (CT 54 495),o 8',umma[saying]PRP ina[in]PRP uṭṭatu[grain]N
saao/saa18/P237183,SAA 18 076. Barley for the King’s Servants in Nippur (CT 54 495),o 9',qātu[hand]N ṣabātu[seize]V ul[not]MOD magāru[consent]V
saao/saa18/P237183,SAA 18 076. Barley for the King’s Servants in Nippur (CT 54 495),o 10',ebūru[harvest]N mādu[many]AJ
saao/saa18/P237183,SAA 18 076. Barley for the King’s Servants in Nippur (CT 54 495),o 11',eṣēdu[harvest]V
saao/saa18/P237183,SAA 18 076. Barley for the King’s Servants in Nippur (CT 54 495),o 12',šarru[king]N bēlu[lord]N ana[to]PRP
saao/saa18/P237183,SAA 18 076. Barley for the King’s Servants in Nippur (CT 54 495),r 1,šâlu[ask]V
saao/saa18/P237183,SAA 18 076. Barley for the King’s Servants in Nippur (CT 54 495),r 2,kī[like]PRP ina[in]PRP šattu[year]N agâ[this]DP
saao/saa18/P237183,SAA 18 076. Barley for the King’s Servants in Nippur (CT 54 495),r 3,bēlu[lord]N piqittu[allocation]N ša[of]DET šarru[king]N
saao/saa18/P237183,SAA 18 076. Barley for the King’s Servants in Nippur (CT 54 495),r 4,bēlu[lord]N ša[that]REL ina[in]PRP Nippur[1]GN
saao/saa18/P237183,SAA 18 076. Barley for the King’s Servants in Nippur (CT 54 495),r 5,paqādu[entrust]V ša[of]DET šattu[year]N
saao/saa18/P237183,SAA 18 076. Barley for the King’s Servants in Nippur (CT 54 495),r 6,uṭṭatu[grain]N lā[not]MOD zabālu[carry]V
saao/saa18/P237183,SAA 18 076. Barley for the King’s Servants in Nippur (CT 54 495),r 7,ina[in]PRP Nippur[1]GN ana[to]PRP ardu[slave]N
saao/saa18/P237183,SAA 18 076. Barley for the King’s Servants in Nippur (CT 54 495),r 8,ša[of]DET šarru[king]N lā[not]MOD nadānu[give]V
saao/saa18/P237183,SAA 18 076. Barley for the King’s Servants in Nippur (CT 54 495),r 9,lā[not]MOD zakû[pure]AJ
