id_text,text_name,l_no,text
saao/saa18/P238655,SAA 18 033. Keeping People under Surveillance (ABL 1337),o 6',enna[now]AV adû[now]AV
saao/saa18/P238655,SAA 18 033. Keeping People under Surveillance (ABL 1337),o 7',alāku[go]V
saao/saa18/P238655,SAA 18 033. Keeping People under Surveillance (ABL 1337),o 8',târu[turn]V
saao/saa18/P238655,SAA 18 033. Keeping People under Surveillance (ABL 1337),o 9',ana[to]PRP
saao/saa18/P238655,SAA 18 033. Keeping People under Surveillance (ABL 1337),o 10',târu[turn]V
saao/saa18/P238655,SAA 18 033. Keeping People under Surveillance (ABL 1337),r 2,ištiššu[once]AV šinīšu[twice]AV epēšu[do]V
saao/saa18/P238655,SAA 18 033. Keeping People under Surveillance (ABL 1337),r 3,dibbu[words]N mala[as-much-as]REL šâlu[ask]V
saao/saa18/P238655,SAA 18 033. Keeping People under Surveillance (ABL 1337),r 4,minamma[why?]QP sakātu[be(come)-silent]V
saao/saa18/P238655,SAA 18 033. Keeping People under Surveillance (ABL 1337),r 5,lā[not]MOD kâšu[delay]V
saao/saa18/P238655,SAA 18 033. Keeping People under Surveillance (ABL 1337),r 6,agâ[this]DP naṣru[guarded]AJ
saao/saa18/P238655,SAA 18 033. Keeping People under Surveillance (ABL 1337),r 7,šarru[king]N lā[not]MOD mahāru[face]V
saao/saa18/P238655,SAA 18 033. Keeping People under Surveillance (ABL 1337),r 8,ṣābu[people]N annû[this]DP
saao/saa18/P238655,SAA 18 033. Keeping People under Surveillance (ABL 1337),r 9,ṣabātu[seize]V
saao/saa18/P238655,SAA 18 033. Keeping People under Surveillance (ABL 1337),r 10,libbu[interior]N ša[of]DET šarru[king]N bēlu[lord]N ṭâbu[be(come)-good]V
saao/saa18/P238655,SAA 18 033. Keeping People under Surveillance (ABL 1337),r 11,ana[to]PRP kidinnû[protégé]N
saao/saa18/P238655,SAA 18 033. Keeping People under Surveillance (ABL 1337),r 12,epēšu[do]V ina[in]PRP Babili[Babylon]GN
saao/saa18/P238655,SAA 18 033. Keeping People under Surveillance (ABL 1337),r 13,naṣru[guarded]AJ lā[not]MOD wussû[identify]V
saao/saa18/P238655,SAA 18 033. Keeping People under Surveillance (ABL 1337),r 14,kī[like]PRP
