Form,Gw,Pos
gu₃-de₂-a,Gudea,RN
ensi₂,ruler,N
lagaš{ki}\gen,Lagaš,SN
lu₂ e₂ {d}nin-ŋeš-zid-da,person house Ninŋešzidak,N N DN
u₃ e₂ {d}ŋeštin-an-na-ka\abs,and house Ŋeštinanak,CNJ N DN
mu-du₃-a\abs,build,V/t
{d}ŋeštin-an-na,Ŋeštinanak,DN
nin a-ne\com mu₂-a,lady he grow,N IP V/t
dam ki\abs aŋ₂,spouse place measure,N N V/t
{d}nin-ŋeš-zid-da-ka,Ninŋešzidak,DN
nin-a-ni\dat,lady,N
gu₃-de₂-a,Gudea,RN
ensi₂,ruler,N
lagaš{ki}-ke₄,Lagaš,SN
e₂ ŋir₂-su{ki}-ka-ni\abs,house Ŋirsu,N SN
mu-na-du₃,build,V/t
alan-na-ni\abs,statue,N
mu-tud,bear,V/t
{d}ŋeštin-an-na-ke₄,Ŋeštinanak,DN
nam-til₃ mu-na-šum₂,life give,N V/t
mu-še₃ mu-na-še₂₁,name call,N V/t
e₂-a-ni-a mu-na-ni-kur₉(REC145),house enter,N V/i
