Form,Gw,Pos
ur₅-bi\abs,loan,N
e-la₂,hang,V/t
še-gub-ba-bi\abs,barley-rental,N
ba-de₆,bring,V/t
lugal,king,N
lagaš{ki}\gen\x,Lagaš,SN
lu₂ umma{ki}-ke₄,person Umma,N SN
šu du₇-ra₂\abs,hand push,N V/t
e-ma-da-dug₄,speak,V/t
lagaš{ki}\gen,Lagaš,SN
gaba-be₂\n5el3,chest,N
šu\abs e-ma-us₂,hand follow,N V/i
aya₂-kur-gal,Ayakurgal,RN
lugal,king,N
lagaš{ki}\gen,Lagaš,SN
dumu ur-{d}nanše,child Urnanše,N RN
lagaš{ki}\gen,Lagaš,SN
bar niŋ₂ ni₂-ba-ka-ka,outside thing self,N N N
gaba-be₂\n5el3,chest,N
šu\abs e-ga-ma-us₂,hand follow,N V/i
piriŋ zag,lion side,N N
ŋir₂-nun šag₄-ga-ke₄,Ŋirnun heart,SN N
{d}nin-ŋir₂-su₂-ke₄,Ninŋirsuk,DN
gu₃-na,voice,N
|KA.KID|-a mu-ni-taka₄,unmng cvve,N V/t
umma{ki}\erg,Umma,SN
u₂-dur₂-durun-na-ŋu₁₀,hay,N
niŋ₂ ni₂-ŋa₂\abs,thing self,N N
{a-šag₄}ašag,field,N
gu₂-eden-na-ka\l1,Guedenak,GN
lagaš{ki},Lagaš,SN
{d}nin-ŋir₂-su₂,Ninŋirsuk,DN
ur-saŋ {d}en-lilₓ(E₂)-la₂\gen,hero Enlil,N DN
{d}nin-ŋir₂-su₂-ke₄,Ninŋirsuk,DN
a e₂-an-na-tum₂-ma-ke₄\n5edat,water Eanatum,N RN
šag₄-ga\l1,heart,N
šu\abs ba-ni-dug₄,hand speak,N V/t
mu-da-hul₂,rejoice,V/i
{d}inana-ke₄,Inanak,DN
da\abs mu-ni-dib,line pass,N V/i
e₂-an-na,Eanak,TN
{d}inana,Inanak,DN
eb-gal-ka-ka\n5al2 a-tum₂,Ebgal suitable,TN V/i
mu\term mu-ne₂-še₂₁,name call,N V/t
{d}nin-hur-saŋ-ra\n5ral2,Ninhursaŋak,DN
dub₃ zid-da-na\n5al2,knee right,N V/i
mu-ni-tuš,sit,V/i
{d}nin-hur-saŋ-ke₄,Ninhursaŋak,DN
ubur zid-da-ni\abs,breast right,N V/i
mu-na-la₂,stretch,V/t
e₂-an-na-tum₂,Eanatum,RN
a šag₄-ga\l1 šu\abs dug₄-ga,water heart hand speak,N N N V/t
{d}nin-ŋir₂-su₂-ka-da,Ninŋirsuk,DN
{d}nin-ŋir₂-su₂\abs,Ninŋirsuk,DN
mu-da-hul₂,rejoice,V/i
{d}nin-ŋir₂-su₂-ke₄,Ninŋirsuk,DN
zipah₂-ni\abs,unit,N
mu-ne₂-ra,beat,V/t
kuš₃ ia₂-am₆,unit five,N NU
kuš₃-a-ni\abs,unit,N
mu-ne₂-ra,beat,V/t
kuš₃ zipah₂,unit unit,N N
{d}nin-ŋir₂-su₂-ke₄,Ninŋirsuk,DN
nam gal hul₂-da,fate big rejoice,N V/i V/i
nam-lugal,kingship,N
lagaš{ki}\gen\abs,Lagaš,SN
mu-na-šum₂,give,V/t
e₂-an-na-tum₂,Eanatum,RN
a₂-tuku-e,powerful,AJ
kur\abs a-ne-še₃ na-e,mountain he speak,N IP V/t
e₂-an-na-tum₂-ra\n5ral2,Eanatum,RN
mu {d}inana-ke₄,name Inanak,N DN
e-ne₂-še₂₁-a-ni,call,V/t
e₂-an-na,Eanak,TN
{d}inana,Inanak,DN
eb-gal-ka-ka\n5al2 a-tum₂,Ebgal suitable,TN V/i
mu\abs mu-ne₂-pad₃,name find,N V/t
mu ki,name place,N N
a₂-tuku-e,powerful,AJ
mu\abs pad₃-da,name find,N V/t
{d}nin-ŋir₂-su₂-ka-ke₄,Ninŋirsuk,DN
e₂-an-na-tum₂-me,Eanatum,RN
kur\abs a-ne-še₃,mountain he,N IP
niŋ₂ ul-li₂-a-da,thing distant,N V/i
gu₃\abs nam-mi-de₂,voice pour,N V/t
ensi₂,ruler,N
umma{ki}\gen\abs,Umma,SN
me-am₆ i₃-huŋ,where? pacify,N V/t
gu₂-eden-na,Guedenak,GN
{a-šag₄}ašag ki\abs aŋ₂,field place measure,N N V/t
{d}nin-ŋir₂-su₂-ka\gen\abs,Ninŋirsuk,DN
e-da-gu₇-e,eat,V/t
he₂-šub-be₂,fall,V/t
an-ne₂\n5el3 šar₂-ra,sky šar,N NU
eŋir-ra-ne₂\n5el3,back,N
e-ma-us₂,follow,V/i
nu₂-a-ra,lie,V/i
nu₂-a-ra,lie,V/i
saŋ-ŋa₂ mu-na-gub\v14sg3s,head stand,N V/i
e₂-an-na-tum₂,Eanatum,RN
nu₂-a-ra,lie,V/i
lugal ki\abs aŋ₂-ni,king place measure,N N V/t
{d}nin-ŋir₂-su₂\abs,Ninŋirsuk,DN
saŋ-ŋa₂ mu-na-gub\v14sg3s,head stand,N V/i
umma{ki}\abs,Umma,SN
kiš{ki}-am₆,Kiš,SN
šu\abs še₃-dag-ge,hand demolish,N V/t
zeₓ(|AB₂.ŠA₃.GE|)\abs dab₅-ba-ta,I seize,IP V/t
nam-ma-da-gub,stand,V/i
a₂ zid-da-za\n5al2,arm right,N V/i
{d}utu\abs,Utu,DN
ri₂-e₃,leave,V/i
saŋ-ki-za,forehead,N
|IZI.DU.GI.US₂|\abs,unmng,N
ri₂-keše₂,bind,V/t
e₂-an-na-tum₂,Eanatum,RN
ŋeš\abs mu-ne₂-ra,tree beat,N V/t
adda-bi\abs,corpse,N
ul₄-he₂\l3 be₂-la₂,firmament stretch,N V/t
umma{ki},Umma,SN
šu\abs e-na-zig₃,hand rise,N V/i
šag₄ umma{ki}-ka\l1,heart Umma,N SN
ne₂-gaz,kill,V/t
niŋin₅-na,district,N
ŋeš\abs teš₂-teš₂-e e-da-la₂,tree unity hang,N N V/t
e₂-an-na-tum₂-ra\n5ral2,Eanatum,RN
lu₂\erg ti\abs mu-ne₂-ra,person arrow beat,N N V/t
